filename,pred_prob,yuri_norm_line,yuri_norm_actpsy,weighted,aid,vid
2255_99805,0.0326303465799552,0.0914127423822714,0.0408684546615581,0.0510888761288103,2255,99805
2255_100338,0.0028223890007641,0.0900277008310249,0.0102171136653895,0.0297234550163048,2255,100338
2255_100339,0.0015154383150734,0.1080332409972299,0.0114942528735632,0.0344686605755693,2255,100339
2255_102172,0.0017721402551078,0.1149584487534626,0.0229885057471264,0.037849669353816,2255,102172
2255_104473,0.0148322971481313,0.1966759002770083,0.0280970625798211,0.0707118546299633,2255,104473
2255_104788,0.012328742702923,0.0650969529085872,0.0127713920817369,0.0282034707025036,2255,104788
2255_108413,0.0438546973547953,0.1648199445983379,0.0459770114942528,0.0803565029418038,2255,108413
2255_110452,0.0279067974685899,0.0304709141274238,0.0,0.025885352719381,2255,110452
2255_110545,0.0079407164360958,0.1551246537396121,0.0996168582375478,0.0612635118072958,2255,110545
2255_114032,0.0132181543173657,0.1038781163434903,0.0076628352490421,0.0398606110183707,2255,114032
2255_120784,0.0045155421511467,0.131578947368421,0.003831417624521,0.0425661512636664,2255,120784
2255_120785,0.0074247361745741,0.1232686980609418,0.0153256704980842,0.0429680181728354,2255,120785
2255_129283,0.0449269529152948,0.1440443213296398,0.0114942528735632,0.0713188934354251,2255,129283
2255_142921,0.0185505394499063,0.1578947368421052,0.0485312899106002,0.0633518737136353,2255,142921
2255_144017,0.0276048496608909,0.1204986149584487,0.037037037037037,0.0564161979877728,2255,144017
2255_149789,0.0125748168823501,0.0304709141274238,0.0,0.0166861643676372,2255,149789
2255_154587,0.0018329663175238,0.1204986149584487,0.0166028097062579,0.0389096452486746,2255,154587
2255_160649,0.0051279133910873,0.0803324099722991,0.0,0.0271764710263421,2255,160649
2255_165709,0.0049612716719018,0.1163434903047091,0.0,0.0378798100945538,2255,165709
2258_82574,0.0001829228034349,0.0844875346260387,0.0255427841634738,0.0280102924862199,2258,82574
2258_86246,0.0025405244942471,0.0360110803324099,0.0676883780332056,0.0190964765995917,2258,86246
2258_86255,0.0083566297144628,0.0692520775623268,0.0268199233716475,0.0284715934345404,2258,86255
2258_164542,0.0002971811370512,0.0595567867036011,0.0217113665389527,0.0202164813472063,2258,164542
2258_164551,0.0331596660920892,0.038781163434903,0.0114942528735632,0.0326795739730807,2258,164551
2258_164560,0.0073937997634905,0.0332409972299168,0.0,0.0144085790270693,2258,164560
2258_164661,0.0033729425473443,0.0373961218836565,0.0293742017879948,0.016180022272303,2258,164661
2258_164670,0.0001833492926696,0.0443213296398891,0.0357598978288633,0.0169823982504548,2258,164670
2291_84182,0.99824431722135,0.3407202216066481,0.2209450830140485,0.7232571651162092,2291,84182
2291_106328,0.9943676907444444,0.2534626038781163,0.1570881226053639,0.6883682078706379,2291,106328
2300_84761,0.0356173736381328,0.0789473684210526,0.0293742017879948,0.0479920548879949,2300,84761
2306_84905,0.8280185864865116,0.1814404432132964,0.037037037037037,0.5549469885595996,2306,84905
2306_98863,0.9213611013675456,0.1897506925207756,0.1724137931034483,0.6269832478871048,2306,98863
2306_98864,0.8285704633607054,0.1426592797783933,0.0881226053639846,0.5487523224863396,2306,98864
2314_85321,0.023982550532214,0.0886426592797784,0.0293742017879948,0.0439197482820614,2314,85321
2314_91290,0.00965793567339,0.1177285318559556,0.0600255427841634,0.047115875239237,2314,91290
2314_91365,0.0002393062416791,0.1204986149584487,0.0255427841634738,0.0388474466488894,2314,91365
2314_97462,0.0045583910684262,0.1052631578947368,0.0421455938697317,0.0385285413964499,2314,97462
2367_87720,0.0002636771034039,0.092797783933518,0.0293742017879948,0.0309349616208972,2367,87720
2367_87736,0.0001826896629147,0.0969529085872576,0.0332056194125159,0.0325160483151776,2367,87736
2367_90830,0.0003206200475444,0.1011080332409972,0.0242656449553001,0.0329513464963558,2367,90830
2367_93911,0.0031580477714705,0.2022160664819944,0.0753512132822477,0.0700947699357053,2367,93911
2367_97745,0.0055874317177266,0.0969529085872576,0.0395913154533844,0.0363974631521516,2367,97745
2367_109978,0.0001825737686046,0.0886426592797784,0.0332056194125159,0.0300229039863478,2367,109978
2367_117201,0.0001826555570826,0.1329639889196676,0.0332056194125159,0.0433193519514014,2367,117201
2367_128760,0.0037697937339999,0.1800554016620498,0.0549169859514687,0.0617701953341617,2367,128760
2367_133856,0.0014131900562857,0.0844875346260387,0.1277139208173691,0.0389655665033199,2367,133856
2410_89519,0.0826594897028899,0.0540166204986149,0.0,0.0658006799713184,2410,89519
2410_97497,0.0827018111089413,0.0581717451523545,0.0140485312899105,0.0684774633400621,2410,97497
2410_110426,0.0403361838866666,0.0470914127423822,0.0,0.0383291341547146,2410,110426
2418_89871,0.0221950493960808,0.1440443213296398,0.0242656449553001,0.0589568905320704,2418,89871
2431_90434,0.9977181408077708,0.2132963988919667,0.1481481481481481,0.6774346189670672,2431,90434
2438_90975,0.000183086557,0.170360110803324,0.0140485312899105,0.0526227383041882,2438,90975
2438_91540,0.002308003537027,0.1108033240997229,0.1187739463601532,0.0465031939881483,2438,91540
2441_91100,0.0940584292983508,0.0650969529085872,0.0063856960408684,0.0766027130556734,2441,91100
2441_91746,0.0215322485764986,0.1011080332409972,0.0178799489144316,0.0450397540096414,2441,91746
2441_94749,0.0206531848499115,0.0692520775623268,0.0,0.0331675341786449,2441,94749
2441_98122,0.0603499009507284,0.0304709141274238,0.0012771392081736,0.0454789287294815,2441,98122
2441_103769,0.0771632377644572,0.0277008310249307,0.0,0.0546081919661535,2441,103769
2441_106148,0.0847238510183486,0.0831024930747922,0.0166028097062579,0.0774253395040726,2441,106148
2441_111561,0.0634267529873555,0.0664819944598338,0.0102171136653895,0.0590223614969023,2441,111561
2441_113367,0.0892120658570511,0.0290858725761772,0.0,0.0622530012870838,2441,113367
2441_116433,0.1078118483235917,0.0166204986149584,0.0,0.0696732585786425,2441,116433
2441_119910,0.0629941394263719,0.0443213296398891,0.0,0.0510928825477898,2441,119910
2441_125778,0.0342117363234301,0.0872576177285318,0.003831417624521,0.0470874688750697,2441,125778
2441_130740,0.0237028790941743,0.0373961218836565,0.0089399744572158,0.0263345614673231,2441,130740
2441_140313,0.0324045037893257,0.0277008310249307,0.0242656449553001,0.0301795160766046,2441,140313
2441_147727,0.0428089229090728,0.0484764542936288,0.0,0.0402282900335323,2441,147727
2441_150529,0.0337885143869362,0.0221606648199445,0.0012771392081736,0.0270490219989624,2441,150529
2451_91489,0.0904929111439845,0.1800554016620498,0.0664112388250319,0.1149534910675088,2451,91489
2451_94926,0.0774857841257007,0.1191135734072022,0.0702426564495529,0.0892498081425363,2451,94926
2451_116164,0.1111606490107629,0.113573407202216,0.1021711366538952,0.110985525232512,2451,116164
2451_127924,0.0545236587186842,0.3157894736842105,0.3128991060025542,0.1587409479367291,2451,127924
2451_137549,0.0469124072487073,0.0817174515235457,0.0421455938697317,0.0568772391932612,2451,137549
2451_164214,0.3085287443451724,0.1454293628808864,0.0919540229885057,0.2379414577702199,2451,164214
2464_92235,0.9966940069960368,0.1814404432132964,0.0893997445721583,0.6613885116188268,2464,92235
2468_92542,0.5741540785255326,0.1204986149584487,0.0523627075351213,0.3858783023563663,2468,92542
2468_98528,0.5201251553600106,0.1634349030470914,0.0280970625798211,0.3639152703881159,2468,98528
2468_114697,0.4420863869415838,0.1717451523545706,0.0727969348659003,0.3240550713579115,2468,114697
2468_114701,0.5214805981362369,0.2049861495844875,0.123882503192848,0.3867724540763732,2468,114701
2468_115960,0.7620361051321312,0.1925207756232687,0.0791826309067688,0.5228961588569362,2468,115960
2468_122234,0.9087208928302508,0.1980609418282548,0.0344827586206896,0.6080990941086959,2468,122234
2468_129551,0.6836529119892034,0.1772853185595568,0.1724137931034483,0.4806187220717339,2468,129551
2468_144039,0.8588735188426034,0.4321329639889196,0.21455938697318,0.6664199391995559,2468,144039
2468_160019,0.2790404324078491,0.1177285318559556,0.0421455938697317,0.2069573783884693,2468,160019
2471_92679,0.0646859784578172,0.0360110803324099,0.0089399744572158,0.0505089086201348,2471,92679
2471_95234,0.0555746763008636,0.0581717451523545,0.0025542784163473,0.0510517571678592,2471,95234
2471_101712,0.1072865176496981,0.0900277008310249,0.0600255427841634,0.0973827751175426,2471,101712
2471_101717,0.1060756034454819,0.0581717451523545,0.0051085568326947,0.0816077412962649,2471,101717
2471_107289,0.0699563213244661,0.0180055401662049,0.0,0.0473754548445411,2471,107289
2471_111398,0.0679396803668037,0.0637119113573407,0.0102171136653895,0.0608990929938233,2471,111398
2480_92985,0.0024932691975169,0.1509695290858725,0.0,0.0467868202442718,2480,92985
2480_94848,0.0017614685720695,0.0900277008310249,0.0,0.0280651913925491,2480,94848
2480_99015,0.0001831201757649,0.0346260387811634,0.0,0.0104976837398079,2480,99015
2480_101626,0.0001828023513644,0.0373961218836565,0.0,0.0113285179759155,2480,101626
2480_103680,0.0001831319826974,0.0360110803324099,0.0,0.0109132032893414,2480,103680
2480_107832,0.0002752801151176,0.1232686980609418,0.0140485312899105,0.0385506306163441,2480,107832
2480_112484,0.0001832007201775,0.0831024930747922,0.0,0.0250406683545441,2480,112484
2480_118171,0.000183683216697,0.020775623268698,0.0,0.0063428969106276,2480,118171
2480_118201,0.0024323173619666,0.077562326869806,0.0,0.0247280884781217,2480,118201
2480_121049,0.0001830943183272,0.095567867036011,0.0,0.0287802167017996,2480,121049
2480_126644,0.0020229130595038,0.0124653739612188,0.0,0.0049533600240679,2480,126644
2480_128696,0.0001847027691025,0.0096952908587257,0.0,0.0030194089190792,2480,128696
2480_130152,0.0002690169036642,0.0221606648199445,0.0,0.0068096095881818,2480,130152
2480_135650,0.000268972754268,0.0110803324099723,0.0,0.0034854833755524,2480,135650
2480_141087,0.0001835201977182,0.0221606648199445,0.0,0.0067583115646142,2480,141087
2480_150421,0.0001836122638867,0.0401662049861495,0.0,0.0121600288541768,2480,150421
2480_165620,0.0001838609525654,0.0249307479224376,0.0,0.0075895409482705,2480,165620
2482_93118,0.9976412124971962,0.3379501385041551,0.3001277139208173,0.7299825404416459,2482,93118
2482_97409,0.9993705702946954,0.2229916897506925,0.2541507024265645,0.6919349193446814,2482,97409
2482_106168,0.999437795028463,0.3905817174515235,0.2005108556832694,0.7368882778208617,2482,106168
2492_93410,0.9981790540153452,0.1121883656509695,0.0191570881226053,0.6344796509167585,2492,93410
2496_93457,0.0989030362598349,0.0817174515235457,0.0127713920817369,0.0851341964211383,2496,93457
